time,error
46.7923,0.007575
46.8251,0.005486
46.8588,0.008027
46.8921,0.008080
46.9255,0.227006
46.9589,0.236744
46.9922,0.228568
47.0253,0.223768
47.0590,0.217449
47.0922,0.219297
47.1256,0.207749
47.1589,0.193261
47.1923,0.184849
47.2257,0.169907
47.2591,0.172730
47.2923,0.160476
47.3259,0.143097
47.3591,0.143315
47.3925,0.112448
47.4258,0.114916
47.4593,0.120135
47.4929,0.118643
47.5261,0.106651
47.5590,0.087612
47.5929,0.086458
47.6263,0.081886
47.6595,0.069846
47.6930,0.055925
47.7265,0.054165
47.7594,0.048280
47.7930,0.041515
47.8257,0.047122
47.8595,0.031806
47.8931,0.024955
47.9262,0.028160
47.9597,0.032659
47.9929,0.022469
48.0263,0.021448
48.0598,0.021934
48.0931,0.022972
48.1265,0.020661
48.1597,0.018796
48.1931,0.019597
48.2265,0.022603
48.2598,0.014319
48.2931,0.006192
48.3267,0.017263
48.3598,0.009297
48.3935,0.008077
48.4267,0.018247
48.4606,0.009238
48.4934,0.004421
48.5267,0.011855
48.5599,0.006263
48.5935,0.005450
48.6267,0.008869
48.6596,0.008576
48.6928,0.002783
48.7272,0.003302
48.7604,0.006961
48.7937,0.005867
48.8274,0.007327
48.8616,0.008426
48.8938,0.009688
48.9268,0.005899
48.9602,0.009194
48.9938,0.093976
49.0273,0.088492
49.0608,0.090035
49.0943,0.090013
49.1275,0.094803
49.1608,0.084228
49.1957,0.080288
49.2277,0.077014
49.2611,0.063704
49.2941,0.059073
49.3278,0.057234
49.3609,0.053457
49.3943,0.060744
49.4280,0.067507
49.4610,0.063842
49.4948,0.068821
49.5280,0.075806
49.5613,0.074168
49.5947,0.065778
49.6282,0.069549
49.6612,0.058210
49.6948,0.066524
49.7280,0.054136
49.7613,0.072207
49.7947,0.067742
49.8283,0.080852
49.8616,0.069184
49.8950,0.068826
49.9283,0.067131
49.9617,0.073515
49.9950,0.069627
50.0286,0.069888
50.0618,0.062358
50.0952,0.091105
50.1287,0.092524
50.1620,0.098270
50.1953,0.074401
50.2287,0.069740
50.2617,0.071562
50.2953,0.076374
50.3292,0.070678
50.3628,0.069200
50.3953,0.049317
50.4288,0.047741
50.4632,0.063355
50.4957,0.060478
50.5285,0.058742
50.5618,0.055933
50.5951,0.045504
50.6285,0.057895
50.6618,0.046740
50.6956,0.037482
50.7292,0.053211
50.7631,0.050282
50.7960,0.039452
50.8290,0.040390
50.8627,0.037459
50.8960,0.042886
50.9294,0.055614
50.9626,0.041371
50.9961,0.075467
51.0298,0.074112
51.0639,0.093763
51.0956,0.086648
51.1298,0.064688
51.1628,0.058521
51.1961,0.067260
51.2298,0.059472
51.2647,0.066370
51.2972,0.063394
51.3298,0.050276
51.3630,0.049823
51.3963,0.047416
51.4297,0.046461
51.4631,0.034532
51.4965,0.032489
51.5300,0.029178
51.5633,0.029059
51.5969,0.025207
51.6302,0.023915
51.6635,0.024443
51.6969,0.019661
51.7300,0.021093
51.7637,0.013488
51.7972,0.022488
51.8303,0.008749
51.8636,0.008276
51.8970,0.013443
51.9303,0.012773
51.9638,0.010055
51.9970,0.016667
52.0307,0.014788
52.0642,0.005718
52.0968,0.018982
52.1306,0.007504
52.1633,0.007864
52.1964,0.005931
52.2304,0.007559
52.2651,0.007900
52.2983,0.016636
52.3308,0.006619
52.3642,0.005026
52.3988,0.005321
52.4309,0.011279
52.4644,0.001414
52.4981,0.012984
52.5312,0.013013
52.5648,0.006698
52.5977,0.008170
52.6312,0.004620
52.6645,0.008982
52.6974,0.008111
52.7330,0.013706
52.7645,0.004613
52.7975,0.008101
52.8311,0.006324
52.8644,0.009317
